Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9980918755950492,0.9980997165958914,0.9980918755950492,0.998094629131988
Random Forest,0.9986175023801968,0.9985609708087895,0.9986175023801968,0.9985425784649383
Logistic Regression,0.9780288003808315,0.9804963645324748,0.9780288003808315,0.9781417888145372
